case_id,customer_id,event_timestamp,data_source,generator_version,failure_category,payment_method,recovery_action,customer_segment,amount_rupees,attempt_count,communication_count,customer_success_rate,customer_tenure_days,previous_failures,previous_recoveries,hours_since_failure,days_to_deadline,hour_of_day,day_of_week,is_subscription,recovered,recovered_amount_rupees,action_cost_rupees,net_recovered_rupees,time_to_recovery_hours
b84d4bdb-392f-4e82-bc4f-f54fcb007247,cust_cd007f83fe6b,2025-08-23T00:31:00+00:00,synthetic,synthetic_v1,mandate_or_authorization,upi,request_customer_authorization,standard,4328.24,0,3,0.7876,443,1,1,3.55,6.85,0,5,0,1,4328.24,1.0,4327.24,43.9
c85bec07-e3a6-452f-a056-38c7cfa98df9,cust_2707e30eaf37,2025-08-23T00:35:00+00:00,synthetic,synthetic_v1,mandate_or_authorization,netbanking,request_customer_authorization,standard,2479.45,1,0,0.624,59,5,3,0.43,6.98,0,5,0,1,2479.45,1.0,2478.45,5.97
6f44b76f-1bbe-4cac-93e7-77a77f6422ed,cust_802a8e1e8cc9,2025-08-23T01:26:00+00:00,synthetic,synthetic_v1,temporary_gateway_or_bank,card,retry_payment,high_value,5672.31,0,2,0.9197,1131,3,2,4.23,6.82,1,5,1,0,0.0,0.5,-0.5,
5f40b192-93dc-42d0-a8be-b85dc358d1a6,cust_1043dfbf9c95,2025-08-23T02:38:00+00:00,synthetic,synthetic_v1,temporary_gateway_or_bank,card,retry_payment,standard,2206.83,1,0,0.704,250,3,3,14.6,6.39,2,5,0,1,2206.83,0.5,2206.33,20.23
f21caede-1be3-4531-961c-35b345fde2ca,cust_9da2acacf58b,2025-08-23T03:09:00+00:00,synthetic,synthetic_v1,insufficient_funds,upi,retry_payment,standard,824.79,1,0,0.7823,234,2,2,11.48,6.52,3,5,0,1,824.79,0.5,824.29,0.62
ba81202b-b5f3-484c-bc2c-597e6c5a59cb,cust_fc943e8f01b6,2025-08-23T03:25:00+00:00,synthetic,synthetic_v1,temporary_gateway_or_bank,netbanking,retry_payment,standard,617.77,1,1,0.9089,745,2,2,59.64,4.52,3,5,0,1,617.77,0.5,617.27,5.87
4c166c8a-de5b-4c6f-a0a0-18fbe947d403,cust_6dd3d884b974,2025-08-23T03:44:00+00:00,synthetic,synthetic_v1,temporary_gateway_or_bank,card,retry_payment,high_value,1250.48,2,3,0.6418,1649,0,0,17.19,6.28,3,5,1,1,1250.48,0.5,1249.98,4.24
5b1621f0-57d9-41c7-8aff-b973b3c34a68,cust_0950f1623909,2025-08-23T05:26:00+00:00,synthetic,synthetic_v1,temporary_gateway_or_bank,upi,retry_payment,high_value,1238.48,2,0,0.8854,1484,2,2,9.34,6.61,5,5,1,1,1238.48,0.5,1237.98,2.74
98812157-7443-405a-9b80-c119a8bca4f9,cust_97d720287207,2025-08-23T05:55:00+00:00,synthetic,synthetic_v1,invalid_or_expired_method,netbanking,request_payment_method_update,high_value,332.02,1,0,0.8429,1314,1,0,38.42,5.4,5,5,0,0,0.0,1.5,-1.5,
4bcf39f5-251b-46a8-a9cb-37cc22eb0990,cust_836f2eeeafe1,2025-08-23T06:20:00+00:00,synthetic,synthetic_v1,temporary_gateway_or_bank,emandate,retry_payment,standard,297.16,1,0,0.5815,165,2,1,26.75,5.89,6,5,1,1,297.16,0.5,296.66,48.79
